standard,clause,page,kind,operator,value,unit,notes
# PREPARED BY CLAUDE (Cowork) 2026-09-20 FROM THE EXTRACTED PAGE TEXT - NOT BY AN ENGINEER.,,,,,,,
# Covers clauses 5.1 to 5.4 only (pages 8-10 of 14). Sections 1-4 and 5.5 onward are NOT marked up.,,,,,,,
# Recall must therefore be scored against this clause range only. Treat as provisional until an engineer reviews it.,,,,,,,
SAES-A-105.pdf,5.1.1,8,statement,,,,consider purchasing low noise equipment - advisory
SAES-A-105.pdf,5.1.2,8,statement,,,,project should consider alternative suppliers or engineering controls
SAES-A-105.pdf,5.1.3,8,limit,<,90,dB(A),engineering controls shall reduce exposure to LESS THAN 90 - strict not <=
SAES-A-105.pdf,5.1.4,8,trigger,,85,dB(A),areas ABOVE 85 become Noise Hazard Areas - not a ceiling
SAES-A-105.pdf,5.1.4,8,statement,,,,boundaries and entrances shall be posted with warning signs
SAES-A-105.pdf,5.2.1,8,statement,,,,ESSS and EIA shall be considered per SAEP-13
SAES-A-105.pdf,5.2.2,8,table,,,,noise criterion curves in Table 1 and octave band levels in Table 2
SAES-A-105.pdf,5.2.3,8,statement,,,,Proponent shall contact EP/IHU for baseline measurements
SAES-A-105.pdf,5.2.4,9,trigger,,85,dB(A),likely to exceed 85 triggers a Key Drawing contour diagram
SAES-A-105.pdf,5.2.5,9,trigger,,90,dB(A),potential to exceed 90 after controls triggers a SAEP-302 waiver
SAES-A-105.pdf,5.2.6,9,trigger,,85,dB(A),closed spaces above 85 trigger echo/reverberation design
SAES-A-105.pdf,5.3.1,9,trigger,,85,dB(A),above 85 at one metre triggers Form 7305-ENG - NOT a limit
SAES-A-105.pdf,5.3.2,9,statement,,,,EP/IHU may visit the manufacturer - permissive
SAES-A-105.pdf,5.3.3,9,limit,<=,90,dB(A),THE PRIMARY LIMIT - new equipment at one metre after feasible controls
SAES-A-105.pdf,5.3.3,9,limit,<=,105,dB(A),exception 1 - emergency sirens alarms and loudspeakers
SAES-A-105.pdf,5.3.3,9,limit,<=,97,dB(A),exception 2 - flaring during a single major unit or plant upset
SAES-A-105.pdf,5.3.3,9,limit,<=,105,dB(A),exception 3 - surge valves for peak shaving at maximum flow
SAES-A-105.pdf,5.3.3,9,limit,<=,115,dB(A),exception 4 - pressure relief valves
SAES-A-105.pdf,5.3.3,9,statement,,,,exceeding the limit requires Form 7305-ENG and a SAEP-302 waiver
SAES-A-105.pdf,5.4.1,10,table,,,,continuous exposure limits are in Table 3
SAES-A-105.pdf,5.4.1,10,statement,,,,dosimeters shall be used - instrument range 80 to 130 dB is not a limit
SAES-A-105.pdf,5.4.1,10,statement,,,,A-weighted slow response 5 dB exchange rate
SAES-A-105.pdf,5.4.1,10,statement,,,,instrumentation per ANSI S1.4 and S1.25 calibrated before and after use
SAES-A-105.pdf,5.4.2,10,limit,<=,140,dB,peak SPL for impulse/impact noise under one second duration
SAES-A-105.pdf,5.4.2,10,statement,,,,levels from 80 to 140 dB shall be integrated into measurements
SAES-A-105.pdf,5.4.3,10,trigger,,85,dB(A),8-hour TWA Action Level triggers Hearing Conservation Program SAEP-371
SAES-A-105.pdf,5.4.3,10,table,,,,exposures shall be computed per Table 3
SAES-A-105.pdf,5.4.3,10,statement,,,,approved hearing protection shall be provided and enforced
SAES-A-105.pdf,5.4.4,10,statement,,,,EP/IHU monitoring conducted periodically and on request
SAES-A-105.pdf,5.4.5,10,statement,,,,hierarchy of noise controls - elimination substitution engineering admin PPE
